DBN,School_Name,Subject,MeanScore,Leadership_Count,Teacher_Count,Other_Staff_Count,Total_Staff,Male_Teachers,Male_Avg_Years_Title,Male_Avg_Years_School,Male_Teacher_Percentage,Female_Teachers,Female_Avg_Years_Title,Female_Avg_Years_School,Female_Teacher_Percentage,Asian,Asian_Percentage,Black_African_American,Black_African_American_Percentage,Hispanic,Hispanic_Percentage,White,White_Percentage,Year,Total Tested,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,latitude,longitude,ZIP Code_x,School Type,School Level,Neighborhood,ZIP Code_y
02M260,THE CLINTON SCHOOL,common_core_algebra,62.69833333333332,3.0,56.0,11.0,70.0,13.0,9.0,6.2,23.21428571,43.0,8.6,4.1,76.78571429,6.0,10.71428571,5.0,8.928571429,7.0,12.5,36.0,64.28571429,2019.8333333333333,72.38888888888889,38.757777777777775,61.24222222222222,23.378888888888888,0.0,16.718333333333334,83.28166666666667,0.0,40.832508,-73.878191,10472.0,General Academic,High school,Pelham - Throgs Neck,10472
02M260,THE CLINTON SCHOOL,common_core_english,74.01666666666667,3.0,56.0,11.0,70.0,13.0,9.0,6.2,23.21428571,43.0,8.6,4.1,76.78571429,6.0,10.71428571,5.0,8.928571429,7.0,12.5,36.0,64.28571429,2019.8333333333333,72.38888888888889,38.757777777777775,61.24222222222222,23.378888888888888,0.0,16.718333333333334,83.28166666666667,0.0,40.832508,-73.878191,10472.0,General Academic,High school,Pelham - Throgs Neck,10472
02M260,THE CLINTON SCHOOL,living_environment,63.81666666666666,3.0,56.0,11.0,70.0,13.0,9.0,6.2,23.21428571,43.0,8.6,4.1,76.78571429,6.0,10.71428571,5.0,8.928571429,7.0,12.5,36.0,64.28571429,2019.8333333333333,72.38888888888889,38.757777777777775,61.24222222222222,23.378888888888888,0.0,16.718333333333334,83.28166666666667,0.0,40.832508,-73.878191,10472.0,General Academic,High school,Pelham - Throgs Neck,10472
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,common_core_algebra,70.88142857142857,4.0,51.0,17.0,72.0,22.0,12.0,8.6,43.1372549,29.0,9.4,7.299999999999999,56.8627451,,,7.0,13.7254902,5.0,9.803921569,36.0,70.58823529,2020.0,743.6666666666666,29.472380952380952,70.53,33.74809523809523,42.72380952380953,1.4514285714285715,31.03952380952381,24.786190476190477,40.613041,-74.002308,11214.0,General Academic,High school,Bensonhurst - Bay Ridge,11214
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,common_core_english,71.01428571428572,4.0,51.0,17.0,72.0,22.0,12.0,8.6,43.1372549,29.0,9.4,7.299999999999999,56.8627451,,,7.0,13.7254902,5.0,9.803921569,36.0,70.58823529,2020.0,743.6666666666666,29.472380952380952,70.53,33.74809523809523,42.72380952380953,1.4514285714285715,31.03952380952381,24.786190476190477,40.613041,-74.002308,11214.0,General Academic,High school,Bensonhurst - Bay Ridge,11214
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,living_environment,68.78285714285714,4.0,51.0,17.0,72.0,22.0,12.0,8.6,43.1372549,29.0,9.4,7.299999999999999,56.8627451,,,7.0,13.7254902,5.0,9.803921569,36.0,70.58823529,2020.0,743.6666666666666,29.472380952380952,70.53,33.74809523809523,42.72380952380953,1.4514285714285715,31.03952380952381,24.786190476190477,40.613041,-74.002308,11214.0,General Academic,High school,Bensonhurst - Bay Ridge,11214
02M422,QUEST TO LEARN,common_core_algebra,60.403333333333336,3.0,51.0,16.0,70.0,18.0,11.0,6.1,35.29411765,33.0,8.4,4.2,64.70588235,5.0,9.803921569,6.0,11.76470588,6.0,11.76470588,33.0,64.70588235,2019.8235294117646,88.94117647058823,39.86058823529412,60.14058823529412,26.18,5.597647058823529,27.857647058823527,51.262352941176474,15.282352941176471,40.743407,-74.00254,10011.0,General Academic,High school,Chelsea - Clinton,10011
02M422,QUEST TO LEARN,common_core_english,71.49499999999999,3.0,51.0,16.0,70.0,18.0,11.0,6.1,35.29411765,33.0,8.4,4.2,64.70588235,5.0,9.803921569,6.0,11.76470588,6.0,11.76470588,33.0,64.70588235,2019.8235294117646,88.94117647058823,39.86058823529412,60.14058823529412,26.18,5.597647058823529,27.857647058823527,51.262352941176474,15.282352941176471,40.743407,-74.00254,10011.0,General Academic,High school,Chelsea - Clinton,10011
02M422,QUEST TO LEARN,living_environment,68.02799999999999,3.0,51.0,16.0,70.0,18.0,11.0,6.1,35.29411765,33.0,8.4,4.2,64.70588235,5.0,9.803921569,6.0,11.76470588,6.0,11.76470588,33.0,64.70588235,2019.8235294117646,88.94117647058823,39.86058823529412,60.14058823529412,26.18,5.597647058823529,27.857647058823527,51.262352941176474,15.282352941176471,40.743407,-74.00254,10011.0,General Academic,High school,Chelsea - Clinton,10011
02M546,ACADEMY FOR SOFTWARE ENGINEERING,common_core_algebra,64.445,3.0,32.0,13.0,48.0,15.0,8.0,4.1,46.875,17.0,6.0,4.3,53.125,5.0,15.625,,,5.0,15.625,16.0,50.0,2019.6875,113.8125,32.96375,67.0375,27.565,8.689375,25.928125,59.6975,5.684375,40.735361,-73.987064,10003.0,Career Technical,High school,Union Square - Lower East Side,10003
