DBN,School_Name,Neighborhood,MeanScore,Leadership_Count,Teacher_Count,Other_Staff_Count,Total_Staff,Male_Teacher_Percentage,Female_Teacher_Percentage,Student_Teacher_Ratio,Leadership_Teacher_Ratio,Support_Staff_Ratio,Avg_Years_Title,Avg_Years_School,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Performance
71M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,Union Square - Lower East Side,64.9863492063492,3.0,34.0,6.0,43.0,47.05882353,52.94117647,3.2244582043343653,0.088235294117647,0.1395348837209302,7.48235294118,4.98235294118,9.869473684210528,19.59263157894737,68.6178947368421,1.9205263157894736,Medium
71M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,Gramercy Park - Murray Hill,67.637,3.0,35.0,5.0,43.0,42.85714286,57.14285714,1.2892857142857144,0.0857142857142857,0.1162790697674418,5.80000000002,3.58571428568,0.0,16.259375,83.740625,0.0,High
76K429,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,Downtown - Heights - Park Slope,69.62877777777778,2.0,27.0,7.0,36.0,37.03703704,62.96296295999999,2.2091503267973858,0.074074074074074,0.1944444444444444,7.722222222239999,5.88888888888,0.0,66.44117647058823,31.70117647058824,1.8564705882352943,High
72X530,LONGWOOD PREPARATORY ACADEMY,Hunts Point - Mott Haven,59.90277777777777,3.0,34.0,10.0,47.0,35.29411765,64.70588235,3.0359477124183014,0.088235294117647,0.2127659574468085,8.86470588245,4.105882353,0.0,28.567222222222224,71.43277777777777,0.0,Low
72X478,THE CINEMA SCHOOL,Pelham - Throgs Neck,66.84388888888888,3.0,26.0,5.0,34.0,30.76923077,69.23076923,2.784188034188034,0.1153846153846153,0.1470588235294117,7.5846153846,4.20000000001,0.0,16.718333333333334,83.28166666666667,0.0,Medium
72X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Bedford Stuyvesant - Crown Heights,62.23122222222222,2.0,24.0,4.0,30.0,33.33333333,66.66666667,2.1053921568627456,0.0833333333333333,0.1333333333333333,11.299999999850002,7.96666666664,0.0,92.45470588235294,7.545294117647059,0.0,Medium
73K563,IT TAKES A VILLAGE ACADEMY,East Flatbush - Flatbush,62.37166666666666,3.0,25.0,11.0,39.0,48.0,52.0,6.20888888888889,0.12,0.282051282051282,14.112,7.828,0.1833333333333333,90.825,7.905555555555555,1.086666666666667,Medium
76R450,CURTIS HIGH SCHOOL,Stapleton - St. George,64.2147619047619,13.0,141.0,33.0,187.0,32.62411348,67.37588652,3.584599797365754,0.0921985815602836,0.1764705882352941,13.77446808528,11.74609929092,4.67047619047619,37.18047619047619,48.55761904761905,9.591904761904765,Medium
76K454,THE WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY,Williamsburg - Bushwick,62.51933333333333,3.0,30.0,11.0,44.0,43.33333333,56.66666667,4.143137254901961,0.1,0.25,7.54666666654,5.28999999987,0.1958823529411764,27.64235294117648,70.43411764705883,1.7276470588235295,Medium
76K568,BROWNSVILLE ACADEMY HIGH SCHOOL,Bedford Stuyvesant - Crown Heights,59.202666666666666,2.0,6.0,4.0,12.0,40.35874439,59.64125561,5.666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,93.753,6.247,0.0,Low
72X284,BRONX SCHOOL OF LAW AND FINANCE,Kingsbridge - Riverdale,61.34833333333333,3.0,25.0,10.0,38.0,36.0,64.0,4.13111111111111,0.12,0.2631578947368421,12.26,8.1,0.0,18.29055555555556,81.16444444444444,0.5449999999999999,Low
76K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,Greenpoint,55.57111111111112,4.0,31.0,15.0,50.0,48.38709677,51.61290323,6.960573476702508,0.1290322580645161,0.3,12.8709677416,9.26774193527,0.0,25.172222222222224,74.60055555555556,0.2272222222222222,Low
76R455,TOTTENVILLE HIGH SCHOOL,South Beach - Tottenville ,70.94690476190476,13.0,230.0,130.0,373.0,35.2173913,64.7826087,2.975,0.0565217391304347,0.3485254691689008,12.4986956521,9.7986956521,8.243,1.4745,16.145500000000002,74.136,High
72X521,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,Pelham - Throgs Neck,62.38655555555556,2.0,36.0,12.0,50.0,41.66666667,58.33333333,2.929738562091502,0.0555555555555555,0.24,8.39166666657,4.20833333331,0.9070588235294118,21.07058823529412,78.0229411764706,0.0,Medium
71M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,Upper East Side,62.19555555555556,3.0,27.0,7.0,37.0,62.96296296,37.03703704,3.716049382716049,0.1111111111111111,0.1891891891891892,10.9444444444,8.8296296296,4.54111111111111,23.73166666666667,70.10611111111112,1.6211111111111112,Medium
72X550,HIGH SCHOOL OF WORLD CULTURES,Pelham - Throgs Neck,60.53603174603175,4.0,29.0,8.0,41.0,37.93103448,62.06896552,4.32486388384755,0.1379310344827586,0.1951219512195122,9.144827586159998,6.71034482752,5.930526315789473,8.693157894736842,85.12842105263158,0.2478947368421052,Low
73K697,TEACHERS PREPARATORY HIGH SCHOOL,Bedford Stuyvesant - Crown Heights,55.71944444444444,2.0,18.0,8.0,28.0,27.77777778,72.22222222,3.808641975308642,0.1111111111111111,0.2857142857142857,16.78888888884,11.78333333334,0.0,82.38722222222222,17.612777777777776,0.0,Low
71M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,Chelsea - Clinton,63.42222222222222,1.0,26.0,6.0,33.0,38.46153846,61.53846153999999,2.1923076923076925,0.0384615384615384,0.1818181818181818,9.13846153846,5.392307692319999,1.9961111111111112,18.731111111111108,79.27277777777778,0.0,Medium
73K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,Bensonhurst - Bay Ridge,56.55466666666667,3.0,23.0,7.0,33.0,21.73913043,78.26086957,4.928853754940711,0.1304347826086956,0.2121212121212121,12.139130434619998,7.078260869459999,26.127272727272725,0.4281818181818181,49.42909090909091,24.015454545454546,Low
